eps_mutau_phase_deg,delta_chi2
0.0,0.0671061765416141
6.101694915254237,0.06710525070377571
12.203389830508474,0.06710525051778404
18.305084745762713,0.06710495086281298
24.406779661016948,0.06710512542386482
30.508474576271183,0.06710495085042112
36.610169491525426,0.06710495085135904
42.71186440677966,0.06710513789670358
48.813559322033896,0.06710495075813583
54.91525423728813,0.06710495062296218
61.01694915254237,0.06710495063603616
67.11864406779661,0.06710495066070621
73.22033898305085,0.06710495035349595
79.32203389830508,0.06710516381852472
85.42372881355932,0.06710509729103364
91.52542372881355,0.06676046008664116
97.62711864406779,0.06013886294070403
103.72881355932203,0.04781628627492296
109.83050847457626,0.034534965251509675
115.9322033898305,0.02363893828186292
122.03389830508473,0.01588163592580827
128.135593220339,0.010631126969371962
134.23728813559322,0.00708721452886607
140.33898305084745,0.004662815706836909
146.4406779661017,0.002979854582918051
152.54237288135593,0.0018058883124467684
158.64406779661016,0.0009955072946752352
164.7457627118644,0.00045877864710064387
170.84745762711864,0.0001391374230479414
176.94915254237287,6.08341332508644e-06
183.0508474576271,4.441671404720182e-05
189.15254237288136,0.00025533600111771193
195.25423728813558,0.000654688827580685
201.3559322033898,0.0012745626267474108
207.45762711864407,0.002172804610665935
213.5593220338983,0.0034406087318927803
219.66101694915253,0.005225031632733135
225.76271186440678,0.007760149455720011
231.864406779661,0.011419784697181967
237.96610169491524,0.016783194025265402
244.06779661016947,0.024624973596672817
250.16949152542372,0.035522498449296336
256.271186440678,0.048661627513041594
262.3728813559322,0.06067672557435344
268.47457627118644,0.06687435611760861
274.5762711864407,0.06710494829235358
280.6779661016949,0.06710495990952836
286.77966101694915,0.06710495044691811
292.8813559322034,0.06710514835504
298.9830508474576,0.06710519007117455
305.08474576271186,0.06710511261539409
311.18644067796606,0.06710511875175484
317.2881355932203,0.06710495077757628
323.3898305084746,0.06710514097733267
329.4915254237288,0.06710566155240372
335.59322033898303,0.06710495086224455
341.6949152542373,0.06710528578327057
347.7966101694915,0.06710523916791544
353.89830508474574,0.06710519065126164
360.0,0.06710617660397133
