eps_tautau_mumu,delta_chi2
-0.1,65.88331778029709
-0.098,62.96188329626102
-0.096,60.09401631959582
-0.094,57.27276265438036
-0.092,54.48429059224523
-0.09000000000000001,51.73273733552867
-0.08800000000000001,49.02762998892041
-0.08600000000000001,46.37850695235261
-0.084,43.784794230581355
-0.082,41.24336446354107
-0.08,38.75857439062568
-0.07800000000000001,36.33474311156948
-0.07600000000000001,33.97604717061216
-0.07400000000000001,31.686478004117305
-0.07200000000000001,29.469797456129243
-0.07,27.32949767691963
-0.068,25.26876258116073
-0.066,23.290432697232546
-0.064,21.39697448813172
-0.062000000000000006,19.59045367015969
-0.060000000000000005,17.87251188446993
-0.058,16.24435115166949
-0.05600000000000001,14.706719427119424
-0.054000000000000006,13.259903647727128
-0.052000000000000005,11.903727542450099
-0.05,10.637553294338574
-0.048,9.46263866932992
-0.046000000000000006,8.37979003267921
-0.044000000000000004,7.383748972011176
-0.042,6.469966425235754
-0.04000000000000001,5.635775005234166
-0.038000000000000006,4.878160378241631
-0.036000000000000004,4.193797333617994
-0.034,3.579090016888074
-0.032,3.0302155941260764
-0.03,2.5431723984261225
-0.027999999999999997,2.113829036735126
-0.02600000000000001,1.73797827859795
-0.024000000000000007,1.4113908651836482
-0.022000000000000006,1.12987147907927
-0.020000000000000004,0.889314337735641
-0.018000000000000002,0.6857588332310911
-0.016,0.515443656988964
-0.013999999999999999,0.37485842087099286
-0.01200000000000001,0.26079334114376707
-0.010000000000000009,0.17038428365432878
-0.008000000000000007,0.10114862524244472
-0.006000000000000005,0.05103255612272051
-0.0040000000000000036,0.01842798444832283
-0.0020000000000000018,0.002199936965098459
0.0,0.0017072022211266358
0.0020000000000000018,0.01680866558371008
0.0040000000000000036,0.04786642681921194
0.0059999999999999915,0.09574250149458408
0.007999999999999993,0.16178588200466493
0.009999999999999995,0.24781529343243847
0.011999999999999997,0.35609147688990106
0.013999999999999999,0.48928561787164426
0.016,0.6504411077433474
0.018000000000000002,0.8429290774413687
0.01999999999999999,1.0704029875170136
0.021999999999999992,1.3367454330281703
0.023999999999999994,1.6460154611234543
0.025999999999999995,2.002394083222981
0.027999999999999997,2.4101269651548876
0.03,2.8734692830341544
0.032,3.396630465900671
0.034,3.983719489681704
0.036000000000000004,4.638693848648131
0.038000000000000006,5.365309858899138
0.04000000000000001,6.1670768113615395
0.04200000000000001,7.047214372483381
0.04400000000000001,8.008613693621498
0.045999999999999985,9.055290576993997
0.04799999999999999,10.19343950487135
0.04999999999999999,11.423362660414114
0.05199999999999999,12.743350893186147
0.05399999999999999,14.154295083266902
0.055999999999999994,15.656649884133174
0.057999999999999996,17.250404332916162
0.06,18.93508020349364
0.062,20.709736561468446
0.064,22.57297944294126
0.066,24.522976082295116
0.068,26.557474196477557
0.07,28.673825202719712
0.07200000000000001,30.869014067778778
0.07400000000000001,33.13969046959116
0.07599999999999998,35.48220708253709
0.07799999999999999,37.89265774593662
0.07999999999999999,40.366921245370065
0.08199999999999999,42.900705977842165
0.08399999999999999,45.49241077747374
0.086,48.14843730124187
0.088,50.861613625905676
0.09,53.61935866681864
0.092,56.416898063438964
0.094,59.253985490390846
0.096,62.146936618794996
0.098,65.09398093849558
0.1,68.0903972658279
